InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10315.290210,Mess,2
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10357.914492,Mess,3
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10389.280900,Mess,4
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10389.295337,Mess,5
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10389.309797,Mess,6
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10389.323804,Mess,7
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10389.338276,Mess,8
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10417.563158,Mess,9
InRate,200.000000,outRate,0.000000,V,0.000000,A,0.000000,freq,800,time,10417.578190,Mess,10
InRate,200.000000,outRate,0.176785,V,0.000000,A,0.000000,freq,800,time,10417.593172,Mess,11
InRate,200.000000,outRate,0.176780,V,0.000000,A,0.000000,freq,800,time,10417.608163,Mess,12
InRate,200.000000,outRate,0.176775,V,0.000000,A,0.000000,freq,800,time,10417.623269,Mess,13
InRate,200.000000,outRate,0.161953,V,0.000000,A,0.000000,freq,800,time,10448.436984,Mess,14
InRate,200.000000,outRate,0.129993,V,0.000000,A,0.000000,freq,800,time,10456.042329,Mess,15
InRate,200.000000,outRate,0.129989,V,0.000000,A,0.000000,freq,800,time,10456.058722,Mess,16
InRate,200.000000,outRate,0.129984,V,0.000000,A,0.000000,freq,800,time,10456.074824,Mess,17
InRate,200.000000,outRate,0.129981,V,0.000000,A,0.000000,freq,800,time,10456.090838,Mess,18
InRate,200.000000,outRate,0.187716,V,0.000000,A,0.000000,freq,800,time,10475.071769,Mess,19
InRate,200.000000,outRate,0.127705,V,0.000000,A,0.000000,freq,800,time,10495.194143,Mess,20
InRate,200.000000,outRate,0.127711,V,0.000000,A,0.000000,freq,800,time,10495.208110,Mess,21
InRate,200.000000,outRate,0.127720,V,0.000000,A,0.000000,freq,800,time,10495.221688,Mess,22
InRate,200.000000,outRate,0.127728,V,0.000000,A,0.000000,freq,800,time,10495.235484,Mess,23
InRate,200.000000,outRate,0.152034,V,0.000000,A,0.000000,freq,800,time,10507.959462,Mess,24
InRate,200.000000,outRate,0.190910,V,0.000000,A,0.000000,freq,800,time,10521.384541,Mess,25
InRate,200.000000,outRate,0.190909,V,0.000000,A,0.000000,freq,800,time,10521.398992,Mess,26
InRate,200.000000,outRate,0.190904,V,0.000000,A,0.000000,freq,800,time,10521.413036,Mess,27
InRate,200.000000,outRate,0.190902,V,0.000000,A,0.000000,freq,800,time,10521.427112,Mess,28
InRate,200.000000,outRate,0.036195,V,0.000000,A,0.000000,freq,800,time,10646.101593,Mess,29
InRate,200.000000,outRate,0.040086,V,0.000000,A,0.000000,freq,800,time,10646.117484,Mess,30
InRate,200.000000,outRate,0.040085,V,0.000000,A,0.000000,freq,800,time,10646.133297,Mess,31
InRate,200.000000,outRate,0.040085,V,0.000000,A,0.000000,freq,800,time,10646.148973,Mess,32
InRate,200.000000,outRate,0.040084,V,0.000000,A,0.000000,freq,800,time,10646.164701,Mess,33
InRate,200.000000,outRate,0.163185,V,0.000000,A,0.000000,freq,800,time,10676.741692,Mess,34
InRate,200.000000,outRate,0.163185,V,0.000000,A,0.000000,freq,800,time,10676.757826,Mess,35
InRate,200.000000,outRate,0.163183,V,0.000000,A,0.000000,freq,800,time,10676.773759,Mess,36
InRate,200.000000,outRate,0.163182,V,0.000000,A,0.000000,freq,800,time,10676.789491,Mess,37
InRate,200.000000,outRate,0.163182,V,0.000000,A,0.000000,freq,800,time,10676.805294,Mess,38
InRate,200.000000,outRate,0.144451,V,0.000000,A,0.000000,freq,800,time,10711.354830,Mess,39
InRate,200.000000,outRate,0.144457,V,0.000000,A,0.000000,freq,800,time,10711.369354,Mess,40
InRate,200.000000,outRate,0.144465,V,0.000000,A,0.000000,freq,800,time,10711.383707,Mess,41
InRate,200.000000,outRate,0.144471,V,0.000000,A,0.000000,freq,800,time,10711.397884,Mess,42
InRate,200.000000,outRate,0.144477,V,0.000000,A,0.000000,freq,800,time,10711.412315,Mess,43
InRate,200.000000,outRate,0.151449,V,0.000000,A,0.000000,freq,800,time,10744.369210,Mess,44
InRate,200.000000,outRate,0.151450,V,0.000000,A,0.000000,freq,800,time,10744.383436,Mess,45
InRate,200.000000,outRate,0.151451,V,0.000000,A,0.000000,freq,800,time,10744.398552,Mess,46
InRate,200.000000,outRate,0.151447,V,0.000000,A,0.000000,freq,800,time,10744.412673,Mess,47
InRate,200.000000,outRate,0.151448,V,0.000000,A,0.000000,freq,800,time,10744.426827,Mess,48
InRate,200.000000,outRate,0.061745,V,0.000000,A,0.000000,freq,800,time,10825.347475,Mess,49
InRate,200.000000,outRate,0.058983,V,0.000000,A,0.000000,freq,800,time,10829.153550,Mess,50
InRate,200.000000,outRate,0.058982,V,0.000000,A,0.000000,freq,800,time,10829.169135,Mess,51
InRate,200.000000,outRate,0.058982,V,0.000000,A,0.000000,freq,800,time,10829.184291,Mess,52
InRate,200.000000,outRate,0.058982,V,0.000000,A,0.000000,freq,800,time,10829.199676,Mess,53
InRate,200.000000,outRate,0.186143,V,0.000000,A,0.000000,freq,800,time,10852.208698,Mess,54
InRate,200.000000,outRate,0.142931,V,0.000000,A,0.000000,freq,800,time,10864.135825,Mess,55
